id_centro,sexo,trimestre_nacimiento,anos_educ_infantil,isec,estudios_madre,repite_curso,expectativas_educ,mates_score
7,Chica,3 tr,4,0.62502,Bachillerato,No repite,Hasta terminar una carrera universitaria,579.7557756
7,Chico,1 tr,6,0.03136,Bachillerato,Repite,NA,NA
7,Chico,2 tr,4,-0.37127,"Estudios obligatorios (ESO,EGB)",Repite,Hasta terminar un Ciclo Formativo de grado medio,494.8685468
7,Chico,4 tr,5,-2.1903,"Estudios obligatorios (ESO,EGB)",No repite,Hasta terminar Bachillerato,547.7140984
7,NA,NA,NA,-0.05678,NA,NA,NA,546.5680132
7,Chico,3 tr,5,0.73644,Bachillerato,No repite,Hasta terminar una carrera universitaria,491.9671706
7,Chica,2 tr,4,-0.37264,"Estudios obligatorios (ESO,EGB)",No repite,NA,502.1385508
7,Chico,2 tr,4,0.97559,"Estudios obligatorios (ESO,EGB)",Repite,Hasta terminar Bachillerato,500.0899948
7,Chica,1 tr,5,1.46284,Tecnico FP grado medio,No repite,Hasta terminar una carrera universitaria,435.4154082
7,Chica,1 tr,4,-1.22246,NA,No repite,Hasta terminar un Ciclo Formativo de grado superior,319.86431600000003
7,Chica,2 tr,4,0.22689,"Estudios obligatorios (ESO,EGB)",No repite,Hasta terminar una carrera universitaria,577.2267092
7,Chico,1 tr,4,-1.04338,Bachillerato,No repite,Hasta terminar una carrera universitaria,497.6259574
7,Chico,3 tr,5,0.52505,NA,No repite,Hasta terminar una carrera universitaria,549.5860154
7,Chico,2 tr,4,-0.77528,"Estudios obligatorios (ESO,EGB)",Repite,Hasta terminar los estudios obligatorios (ESO),443.563852
7,Chico,3 tr,4,-1.11556,"Estudios obligatorios (ESO,EGB)",No repite,Hasta terminar un Ciclo Formativo de grado superior,478.3318084
7,Chico,1 tr,5,0.03136,"Estudios obligatorios (ESO,EGB)",No repite,Hasta terminar una carrera universitaria,481.8007914
8,Chica,2 tr,4,0.81276,Universitarios superiores,No repite,Hasta terminar una carrera universitaria,531.2775234
8,Chica,2 tr,4,-0.43163,Bachillerato,No repite,Hasta terminar una carrera universitaria,361.0236404
8,Chico,4 tr,4,-2.1903,"Estudios obligatorios (ESO,EGB)",Repite,Hasta terminar una carrera universitaria,493.4273046
8,Chica,1 tr,4,-1.18621,"Estudios obligatorios (ESO,EGB)",No repite,Hasta terminar una carrera universitaria,457.2123446
8,Chica,2 tr,3,1.47958,Universitarios superiores,No repite,Hasta terminar una carrera universitaria,502.9558334
8,Chico,3 tr,5,0.51861,Universitarios superiores,No repite,NA,383.7285064
8,Chica,4 tr,4,-0.55472,NA,Repite,Hasta terminar los estudios obligatorios (ESO),379.8645402
8,Chica,3 tr,4,0.03136,Bachillerato,No repite,Hasta terminar una carrera universitaria,NA
8,Chica,2 tr,4,-0.37127,Bachillerato,No repite,Hasta terminar una carrera universitaria,426.59909719999996
8,Chica,1 tr,6,-0.77528,Sin estudios obligatorios,Repite,Hasta terminar Bachillerato,438.3300656
8,Chica,4 tr,4,-0.55613,Universitarios superiores,No repite,Hasta terminar los estudios obligatorios (ESO),332.1247738
8,Chica,4 tr,6,-0.433,"Estudios obligatorios (ESO,EGB)",No repite,No lo he pensado todavia,414.2236204
8,Chica,3 tr,5,0.1038,NA,Repite,Hasta terminar un Ciclo Formativo de grado superior,335.5913988
8,Chica,4 tr,6,-0.83564,"Estudios obligatorios (ESO,EGB)",No repite,Hasta terminar Bachillerato,436.533327
8,Chica,3 tr,4,-0.42471,"Estudios obligatorios (ESO,EGB)",No repite,Hasta terminar los estudios obligatorios (ESO),433.0700008
